,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
b0001,U00096.3,190,255,+,thrL,,thr operon leader peptide,AAC73112.1,,,,,,,,,,,,,,,,,,,,
b0002,U00096.3,337,2799,+,thrA,,fused aspartate kinase/homoserine dehydrogenase 1,AAC73113.1,511145.b0002,0.0,1589.0,"COG0460@1|root,COG0527@1|root,COG0460@2|Bacteria,COG0527@2|Bacteria,1MW3H@1224|Proteobacteria,1RN1G@1236|Gammaproteobacteria,3XN2A@561|Escherichia",2|Bacteria,E,homoserine dehydrogenase I,thrA,"GO:0003674,GO:0003824,GO:0004072,GO:0004412,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009070,GO:0009085,GO:0009089,GO:0009090,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016772,GO:0016774,GO:0019202,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","1.1.1.3,2.7.2.4","ko:K00003,ko:K00928,ko:K12524,ko:K12525","ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230","M00016,M00017,M00018,M00033,M00525,M00526,M00527","R00480,R01773,R01775","RC00002,RC00043,RC00087","ko00000,ko00001,ko00002,ko01000",-,-,"iECDH1ME8569_1439.ECDH1ME8569_0002,iECED1_1282.ECED1_4739,iEcDH1_1363.EcDH1_3594,iSFV_1184.SFV_0001,iUMNK88_1353.UMNK88_4778","AA_kinase,ACT,ACT_7,Homoserine_dh,NAD_binding_3"
b0003,U00096.3,2801,3733,+,thrB,,homoserine kinase,AAC73114.1,316407.85674277,1.28e-226,624.0,"COG0083@1|root,COG0083@2|Bacteria,1MW8I@1224|Proteobacteria,1RMYR@1236|Gammaproteobacteria,3XN01@561|Escherichia",2|Bacteria,F,Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate,thrB,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004413,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006566,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009086,GO:0009088,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019202,GO:0019752,GO:0040007,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.7.1.39,ko:K00872,"ko00260,ko01100,ko01110,ko01120,ko01230,map00260,map01100,map01110,map01120,map01230",M00018,R01771,"RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,"iECSE_1348.ECSE_0003,iJN678.thrB,iLJ478.TM0545,iSB619.SA_RS06620","GHMP_kinases_C,GHMP_kinases_N"
b0004,U00096.3,3734,5020,+,thrC,,threonine synthase,AAC73115.1,316407.21321894,2.12e-312,850.0,"COG0498@1|root,COG0498@2|Bacteria,1MUWQ@1224|Proteobacteria,1RQ0H@1236|Gammaproteobacteria,3XP31@561|Escherichia",2|Bacteria,E,"Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine. To a lesser extent, is able to slowly catalyze the deamination of L-threonine into alpha-ketobutyrate and that of L- serine and 3-chloroalanine into pyruvate. Is also able to rapidly convert vinylglycine to threonine, which proves that the pyridoxal p-quinonoid of vinylglycine is an intermediate in the TS reaction",thrC,"GO:0003674,GO:0003824,GO:0004795,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006566,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009088,GO:0009987,GO:0016053,GO:0016311,GO:0016829,GO:0016835,GO:0016838,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",4.2.3.1,ko:K01733,"ko00260,ko00750,ko01100,ko01110,ko01120,ko01230,map00260,map00750,map01100,map01110,map01120,map01230",M00018,"R01466,R05086","RC00017,RC00526","ko00000,ko00001,ko00002,ko01000",-,-,"iIT341.HP0098,iLF82_1304.LF82_2261,iNRG857_1313.NRG857_00025","PALP,Thr_synth_N"
b0005,U00096.3,5234,5530,+,yaaX,,DUF2502 domain-containing protein YaaX,AAC73116.1,316407.21321895,7.86e-47,152.0,"2B58A@1|root,32XJS@2|Bacteria,1N4SV@1224|Proteobacteria,1S9KR@1236|Gammaproteobacteria,3XRGB@561|Escherichia",2|Bacteria,S,Protein of unknown function (DUF2502),yaaX,-,-,-,-,-,-,-,-,-,-,-,DUF2502
b0006,U00096.3,5683,6459,-,yaaA,,DNA binding and peroxide stress response protein YaaA,AAC73117.1,316407.21321897,1.5e-183,510.0,"COG3022@1|root,COG3022@2|Bacteria,1MUAF@1224|Proteobacteria,1RMTD@1236|Gammaproteobacteria,3XMJK@561|Escherichia",2|Bacteria,S,Belongs to the UPF0246 family,yaaA,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0033194,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:1901700",-,ko:K09861,-,-,-,-,ko00000,-,-,-,H2O2_YaaD
b0007,U00096.3,6529,7959,-,yaaJ,,putative transporter YaaJ,AAC73118.1,316407.21321898,0.0,922.0,"COG1115@1|root,COG1115@2|Bacteria,1MUI3@1224|Proteobacteria,1RMNF@1236|Gammaproteobacteria,3XN15@561|Escherichia",2|Bacteria,E,alanine:sodium symporter activity,yaaJ,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K03310,-,-,-,-,ko00000,2.A.25,-,iEcE24377_1341.EcE24377A_0007,Na_Ala_symp
b0008,U00096.3,8238,9191,+,talB,,transaldolase B,AAC73119.1,511145.b0008,6.06e-224,617.0,"COG0176@1|root,COG0176@2|Bacteria,1MWQ8@1224|Proteobacteria,1RMS0@1236|Gammaproteobacteria,3XM3G@561|Escherichia",2|Bacteria,F,Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway,tal,"GO:0003674,GO:0003824,GO:0004801,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009052,GO:0009117,GO:0009987,GO:0016740,GO:0016744,GO:0016829,GO:0016830,GO:0016832,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046496,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:0097023,GO:1901135,GO:1901360,GO:1901564",2.2.1.2,"ko:K00616,ko:K08313,ko:K08314","ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map01100,map01110,map01120,map01130,map01200,map01230","M00004,M00007",R01827,"RC00439,RC00604","ko00000,ko00001,ko00002,ko01000",-,-,"iECH74115_1262.ECH74115_5407,iECSP_1301.ECSP_5016,iECs_1301.ECs4875,iG2583_1286.G2583_4758,iSF_1195.SF0775,iSFxv_1172.SFxv_0845,iS_1188.S0818,iZ_1308.Z5501","EF-hand_5,TAL_FSA"
b0009,U00096.3,9306,9893,+,mog,,molybdopterin adenylyltransferase,AAC73120.1,511145.b0009,1.72e-135,384.0,"COG0521@1|root,COG0521@2|Bacteria,1R9W2@1224|Proteobacteria,1RMZM@1236|Gammaproteobacteria,3XMRI@561|Escherichia",2|Bacteria,F,Catalyzes the adenylation of molybdopterin as part of the biosynthesis of the molybdenum-cofactor,mog,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009144,GO:0009150,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019538,GO:0019637,GO:0019693,GO:0032324,GO:0034641,GO:0042278,GO:0042802,GO:0043170,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046039,GO:0046128,GO:0046483,GO:0051186,GO:0051188,GO:0051189,GO:0055086,GO:0061598,GO:0070566,GO:0071704,GO:0072521,GO:0090407,GO:1901068,GO:1901135,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657","2.7.7.75,2.8.1.12","ko:K03635,ko:K03638,ko:K03831","ko00790,ko01100,ko04122,map00790,map01100,map04122",-,"R09395,R09726","RC00002,RC02507","ko00000,ko00001,ko01000",-,-,"iAPECO1_1312.APECO1_1969,iECABU_c1320.ECABU_c00100,iECED1_1282.ECED1_0009,iECNA114_1301.ECNA114_4653,iECP_1309.ECP_0010,iECS88_1305.ECS88_0010,iECSF_1327.ECSF_0009,iECUMN_1333.ECUMN_0010,iEcSMS35_1347.EcSMS35_0008,iLF82_1304.LF82_1379,iNRG857_1313.NRG857_00050,iUMN146_1321.UM146_22820","MOSC,MoCF_biosynth"
b0010,U00096.3,9928,10494,-,satP,,acetate/succinate:H(+) symporter,AAC73121.1,316407.85674279,1.2700000000000001e-129,368.0,"COG1584@1|root,COG1584@2|Bacteria,1N3HP@1224|Proteobacteria,1RMRK@1236|Gammaproteobacteria,3XNU9@561|Escherichia",2|Bacteria,S,Uptake of acetate and succinate. Transport is energetically dependent on the protonmotive force,yaaH,"GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006835,GO:0006846,GO:0006855,GO:0008028,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015077,GO:0015078,GO:0015123,GO:0015238,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015355,GO:0015360,GO:0015672,GO:0015711,GO:0015718,GO:0015740,GO:0015744,GO:0015849,GO:0015893,GO:0016020,GO:0022804,GO:0022857,GO:0022890,GO:0034220,GO:0035433,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0043893,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071422,GO:0071702,GO:0071944,GO:0098655,GO:0098656,GO:0098660,GO:0098662,GO:1902600,GO:1903825,GO:1905039",-,ko:K07034,-,-,-,-,ko00000,-,-,-,Grp1_Fun34_YaaH
